[INIT] Loaded 19 registry anchors for exclusion.
[SCAN] Processing 139 chapter files.

================================================================================
CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
Warden                    |   7 files | e.g., book_06_the_ragnarok_029_bounty_hunter.md
Weight                    |   7 files | e.g., book_17_ancestral_debt_091_the_weight_of_memory.md
Zar                       |   7 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Above                     |   6 files | e.g., book_08_the_vigil_of_the_anchor_045_the_hub_falls.md
Acknowledged              |   6 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Across                    |   6 files | e.g., book_04_sage_saga_017_niburu_shadow.md
Agreed                    |   6 files | e.g., book_06_the_ragnarok_029_bounty_hunter.md
Applicators               |   6 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Approach                  |   6 files | e.g., book_05_the_nameless_one_028_ragnarok.md
Arrival                   |   6 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Assessment                |   6 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
Bearer                    |   6 files | e.g., book_09_bureaucratic_debt_050_the_scout.md
Chambers                  |   6 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Choice                    |   6 files | e.g., book_03_the_reckoning_015_betrayal.md
City                      |   6 files | e.g., book_09_bureaucratic_debt_053_the_twilight_city.md
Coastal                   |   6 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Coil                      |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Cold                      |   6 files | e.g., book_03_the_reckoning_014_convergence.md
Each                      |   6 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Edge                      |   6 files | e.g., book_06_the_ragnarok_035_sands_of_time.md
Expanded                  |   6 files | e.g., book_11_blood_and_legacy_063_the_iron_hand.md
Fire                      |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Forge                     |   6 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
